images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/534617.jpg', 'path': 'full/6084a7bb1ad734ea63d639e6492cb36e5bdbdd25.jpg', 'checksum': '8e1810fb2775f2fd5045ca4eee1bbb11'}]",Corsair Vengeance Pro 8GB(2x4GB) DDR3,http://www.informatique.nl/534617/corsair-vengeance-pro-8gb-2x4gb-ddr3.html,Informatique,"€ 93,00",http://img.informatique.nl/110/534617.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/534619.jpg', 'path': 'full/515d33acc9b325bcfac8f7b7ea5282cc2e723380.jpg', 'checksum': '358843b99006c4caf3a028c3762c9daf'}]",Corsair Vengeance Pro 8GB(2x4GB) DDR3,http://www.informatique.nl/534619/corsair-vengeance-pro-8gb-2x4gb-ddr3.html,Informatique,"€ 94,00",http://img.informatique.nl/110/534619.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/534624.jpg', 'path': 'full/3ef7bab125aa78543f0ade8ac285d8467ad1f0d2.jpg', 'checksum': '8e1810fb2775f2fd5045ca4eee1bbb11'}]",Corsair Vengeance Pro 16GB(2x8GB) DDR3,http://www.informatique.nl/534624/corsair-vengeance-pro-16gb-2x8gb-ddr3.html,Informatique,"€ 169,00",http://img.informatique.nl/110/534624.jpg,"16GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/534626.jpg', 'path': 'full/89e45cfd7e0df60ddfe2fa13b8f91729e7dfba24.jpg', 'checksum': '358843b99006c4caf3a028c3762c9daf'}]",Corsair Vengeance Pro 16GB(2x8GB) DDR3,http://www.informatique.nl/534626/corsair-vengeance-pro-16gb-2x8gb-ddr3.html,Informatique,"€ 176,00",http://img.informatique.nl/110/534626.jpg,"16GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/534665.jpg', 'path': 'full/8cb91d359cb9081878f41b5b0ee9ee06888b6bce.jpg', 'checksum': '8e1810fb2775f2fd5045ca4eee1bbb11'}]",Corsair Vengeance Pro 16GB(2x8GB)DDR3,http://www.informatique.nl/534665/corsair-vengeance-pro-16gb-2x8gb-ddr3.html,Informatique,"€ 184,00",http://img.informatique.nl/110/534665.jpg,"16GB (2 modules),Cas Latency: 11,Kloksnelheid: 2133 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/534668.jpg', 'path': 'full/f0f3ee2f220dcfae17ec0ede41f67e932e1575f1.jpg', 'checksum': '358843b99006c4caf3a028c3762c9daf'}]",Corsair Vengeance Pro 8GB(2x4GB) DDR3,http://www.informatique.nl/534668/corsair-vengeance-pro-8gb-2x4gb-ddr3.html,Informatique,"€ 95,00",http://img.informatique.nl/110/534668.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1866 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/539527.jpg', 'path': 'full/47e0f9e05e03faa5bafc8b39f5054a781fc4d1b9.jpg', 'checksum': 'abd27efad3ff26bc38d64932d0e65047'}]",Kingston HX313C9FK2/8,http://www.informatique.nl/539527/kingston-hx313c9fk2-8.html,Informatique,"€ 82,00",http://img.informatique.nl/110/539527.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/539530.jpg', 'path': 'full/f7bfbf30d6120321f1569dd39d3696c239576a68.jpg', 'checksum': 'c9a3c7402fc1b34478fa63135e6b504f'}]",Kingston HX313C9FWK2/8,http://www.informatique.nl/539530/kingston-hx313c9fwk2-8.html,Informatique,"€ 83,00",http://img.informatique.nl/110/539530.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/539540.jpg', 'path': 'full/8cffc7991d09114ab5f62183522085d2f7b68785.jpg', 'checksum': 'aa5a28f50d1c5fac0f5fa6b840d595b8'}]",Kingston HX316C10FR/8,http://www.informatique.nl/539540/kingston-hx316c10fr-8.html,Informatique,"€ 82,00",http://img.informatique.nl/110/539540.jpg,"8GB (1 modules),Cas Latency: 10,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/773011.jpg', 'path': 'full/47ad4c543d6e9264e93decdb3754da36d5a67d64.jpg', 'checksum': '803fe2ac461547563e1cd705fae2b410'}]",Kingston KHX16C9T3K2/8X,http://www.informatique.nl/773011/kingston-khx16c9t3k2-8x.html,Informatique,"€ 87,00",http://img.informatique.nl/110/773011.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.65 V"
