images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/536808.jpg', 'path': 'full/36d4a2a1ff78637efe2a68ffc76b32fc9ab9a834.jpg', 'checksum': '7a36fa0967896115e770bfa27b411fc1'}]",CoolerMaster G650M 650W,http://www.informatique.nl/536808/coolermaster-g650m-650w.html,Informatique,"€ 66,00",http://img.informatique.nl/110/536808.jpg,
"[{'url': 'http://img.informatique.nl/110/925156.jpg', 'path': 'full/0a348791eca3e56753355b3ce1f483c2f11d8167.jpg', 'checksum': '14fd70621d5ca8ef0a260bbfcc518c30'}]",Be Quiet! Pure Power L8 300W,http://www.informatique.nl/925156/be-quiet-pure-power-l8-300w.html,Informatique,"€ 42,00",http://img.informatique.nl/110/925156.jpg,"ATX ,300 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/111946.jpg', 'path': 'full/3b2698ceb76648e8777062b5f86b5fc2429c813d.jpg', 'checksum': 'bfbfa8b7c9c3666fe6409c50827696ae'}]",Seasonic S12G 450W,http://www.informatique.nl/111946/seasonic-s12g-450w.html,Informatique,"€ 69,95",http://img.informatique.nl/110/111946.jpg,
"[{'url': 'http://img.informatique.nl/110/531259.jpg', 'path': 'full/b754d0fc2dcbee2ddeabb54a4d591fcc964ff1b2.jpg', 'checksum': 'ca70de6f409564c77304c8881227916b'}]",Corsair Builder Series CX430M,http://www.informatique.nl/531259/corsair-builder-series-cx430m.html,Informatique,"€ 48,00",http://img.informatique.nl/110/531259.jpg,
"[{'url': 'http://img.informatique.nl/110/538632.jpg', 'path': 'full/18d9ba5b018d8edcbcdcf9561ee4c83d23a5c880.jpg', 'checksum': '865736c4e0d4c85c45aee386a9f7077b'}]",Be Quiet! SFX Power 2 300W,http://www.informatique.nl/538632/be-quiet-sfx-power-2-300w.html,Informatique,"€ 49,00",http://img.informatique.nl/110/538632.jpg,"SFX ,300 Watt,80+ Efficiency,80mm Fan"
"[{'url': 'http://img.informatique.nl/110/543022.jpg', 'path': 'full/487baed02a8d9867ece761836a0f01b3f3089598.jpg', 'checksum': '125a8df09528fb21d03d473f9739de10'}]",Corsair HX850i,http://www.informatique.nl/543022/corsair-hx850i.html,Informatique,"€ 161,00",http://img.informatique.nl/110/543022.jpg,
"[{'url': 'http://img.informatique.nl/110/925128.jpg', 'path': 'full/56efd6f0da02f5bff5dca6d2d3adf7a878b15cdf.jpg', 'checksum': '8e0b8b2dafe7efabca347ec6099499e9'}]","Be Quiet! Straight Power E9, 500Watt",http://www.informatique.nl/925128/be-quiet-straight-power-e9-500watt.html,Informatique,"€ 91,00",http://img.informatique.nl/110/925128.jpg,"ATX ,500 Watt,80+ Efficiency,135mm Fan"
"[{'url': 'http://img.informatique.nl/110/111950.jpg', 'path': 'full/570cf2f0a50e7d94178b67f25c0d0f28f85b2014.jpg', 'checksum': 'd715e22f0b37166f46f39a32082f0419'}]",Seasonic M12II EVO 750W,http://www.informatique.nl/111950/seasonic-m12ii-evo-750w.html,Informatique,"€ 99,00",http://img.informatique.nl/110/111950.jpg,"ATX ,750 Watt,Modulair,80+ Efficiency,120mm fan"
"[{'url': 'http://img.informatique.nl/110/111951.jpg', 'path': 'full/da45bd9af65606c04f7b15fad04bf925b86eb57e.jpg', 'checksum': 'd715e22f0b37166f46f39a32082f0419'}]",Seasonic M12II EVO 850W,http://www.informatique.nl/111951/seasonic-m12ii-evo-850w.html,Informatique,"€ 115,00",http://img.informatique.nl/110/111951.jpg,"ATX ,850 Watt,Modulair,80+ Efficiency,120mm fan"
"[{'url': 'http://img.informatique.nl/110/266007.jpg', 'path': 'full/e88f3cda3f13e7825f0ab3a4b94b1d9e6d62618a.jpg', 'checksum': 'c00c105e47848ecd1edf884bd0ea06ea'}]",CoolerMaster V1000,http://www.informatique.nl/266007/coolermaster-v1000.html,Informatique,"€ 178,00",http://img.informatique.nl/110/266007.jpg,"ATX ,1000 Watt,Modulair,80+ Efficiency"
