url,price,name,desc
/productinfo/219945/asrock-z97m-oc-formula,"€ 147,79",ASRock Z97M OC Formula,"Micro ATX, Socket 1150, DDR3, Intel Z97"
/productinfo/579/asus-a8n-sli-deluxe,,ASUS A8N-SLI Deluxe,"Socket 939, Nvidia nForce 4 SLI"
/productinfo/239843/asrock-q2900,"€ 109,59",ASRock Q2900,"Mini ITX, Intel Pentium J2900, DDR3"
/productinfo/239844/asrock-q2900m,"€ 112,02",ASRock Q2900M,"Micro ATX, Intel Pentium J2900, DDR3"
/productinfo/133515/asrock-x79-extreme9,"€ 316,35",ASRock X79 Extreme9,"ATX, Socket 2011, DDR3, Intel X79"
/productinfo/196206/asus-a88xm-a,"€ 60,74",ASUS A88XM-A,"Micro ATX, Socket FM2+, DDR3, AMD A88X"
/productinfo/230/asus-a8v-deluxe,,ASUS A8V Deluxe,"Socket 939, VIA K8T800 Pro"
/productinfo/188042/asus-b85-plus,"€ 94,88",ASUS B85-Plus,"ATX, Socket 1150, DDR3, Intel B85"
/productinfo/98116/asus-crosshair-iv-formula,"€ 323,40",ASUS Crosshair IV Formula,"ATX, Socket AM3, DDR3, AMD 890FX"
/productinfo/124769/asus-crosshair-v-formula,"€ 237,86",ASUS Crosshair V Formula,"ATX, Socket AM3+, DDR3, AMD 990FX"
/productinfo/187913/asus-h87-pro,"€ 105,40",ASUS H87-Pro,"ATX, Socket 1150, DDR3, Intel H87"
/productinfo/68819/asus-m4a78-htpcrc,,ASUS M4A78-HTPC/RC,"Micro ATX, Socket AM2+, DDR2, AMD 780G"
/productinfo/99820/asus-m4a88td-m-evousb3,,ASUS M4A88TD-M EVO/USB3,"Micro ATX, Socket AM3, DDR3, AMD 880G"
/productinfo/38921/tyan-thunder-n3600m,,Tyan Thunder n3600M,Extended ATX
/productinfo/40444/tyan-thunder-n3600r,,Tyan Thunder n3600R,Extended ATX
/productinfo/45324/tyan-thunder-n3600s,,Tyan Thunder n3600S,
/productinfo/43118/tyan-thunder-n6650w,,Tyan Thunder n6650W,
/productinfo/12780/tyan-thunder-n6650w-s2915a2nrf,,Tyan Thunder n6650W S2915A2NRF,Extended ATX
/productinfo/12784/tyan-tiger-k8ssa-s3095g3nr,,Tyan Tiger K8SSA S3095G3NR ,
/productinfo/43624/tyan-toledo-i3200r,,Tyan Toledo i3200R,ATX
/productinfo/42052/tyan-toledo-i3210w,,Tyan Toledo i3210W,"ATX, Socket 775, DDR2, Intel 3210"
/productinfo/42053/tyan-toledo-q35t,,Tyan Toledo q35T,"ATX, Socket 775, Intel Q35"
/productinfo/12779/tyan-tomcat-k8e-s2865-ag2nrf,,Tyan Tomcat K8E S2865 AG2NRF,
/productinfo/45326/tyan-tomcat-k8sh,,Tyan Tomcat K8SH,ATX
/productinfo/40446/tyan-tomcat-h1000e,,Tyan Tomcat h1000E,ATX
/productinfo/40445/tyan-tomcat-h1000s,,Tyan Tomcat h1000S,ATX
/productinfo/12783/tyan-tomcat-i945gm-s3095g3nr,,Tyan Tomcat i945GM S3095G3NR ,"ATX, Intel 945G"
/productinfo/187912/asus-h87-plus,"€ 93,84",ASUS H87-Plus,"ATX, Socket 1150, DDR3, Intel H87"
/productinfo/186853/asus-maximus-vi-hero,"€ 195,55",ASUS Maximus VI Hero,"ATX, Socket 1150, DDR3, Intel Z87"
/productinfo/8320/asus-p5vd2-vm,,ASUS P5VD2-VM,"Micro ATX, Socket 775, DDR2"
/productinfo/150151/asus-p8z77-i-deluxe,,ASUS P8Z77-I Deluxe,"Mini ITX, Socket 1155, DDR3, Intel Z77"
/productinfo/219926/asus-z97-deluxe,"€ 248,59",ASUS Z97-Deluxe,"ATX, Socket 1150, DDR3, Intel Z97"
/productinfo/201673/biostar-hi-fi-a88s3+,"€ 69,16",Biostar Hi-Fi A88S3+,"Micro ATX, Socket FM2+, DDR3, AMD A88X"
/productinfo/202457/gigabyte-c1037un-eu,"€ 91,50",Gigabyte C1037UN-EU,"Mini ITX, onboard CPU, DDR3, Intel MM70"
/productinfo/206760/gigabyte-j1800n-d2p,"€ 66,33",Gigabyte J1800N-D2P,"Mini ITX, onboard CPU, Intel Celeron J1800, DDR3"
/productinfo/157482/msi-760ga-p43-fx,"€ 60,25",MSI 760GA-P43 (FX),"ATX, Socket AM3+, DDR3, AMD 760G"
/productinfo/202996/msi-a78m-e35,"€ 51,42",MSI A78M-E35,"Micro ATX, Socket FM2+, DDR3, AMD A75"
/productinfo/210440/msi-b85i-gaming,"€ 104,85",MSI B85I Gaming,"Mini ITX, Socket 1150, DDR3, Intel B85"
/productinfo/187097/msi-h87-g41-pc-mate,"€ 77,14",MSI H87-G41 PC Mate,"ATX, Socket 1150, DDR3, Intel H87"
/productinfo/219310/msi-h97i-ac,"€ 110,76",MSI H97I AC,"Mini ITX, Socket 1150, DDR3, Intel H97"
/productinfo/530/msi-k8n-neo4,,MSI K8N Neo4,"ATX, Socket 939, Nvidia nForce 4 Ultra"
/productinfo/99980/asrock-870-extreme3,,ASRock 870 Extreme3,"ATX, Socket AM3, DDR3, AMD 870"
/productinfo/124585/gigabyte-990fxa-ud7,,Gigabyte 990FXA-UD7,"ATX, Socket AM3+, DDR3, AMD 990FX"
/productinfo/197448/gigabyte-g1sniper-a88x,"€ 107,20",Gigabyte G1.Sniper A88X,"ATX, Socket FM2+, DDR3, AMD A88X"
